country_slug,country_name,subdivision_type,subdivision_slug,subdivision_name,subdivision_wikidata_id,subdivision_wikipedia_url,capital_name,capital_wikidata_id,capital_wikipedia_url,borders_subdivisions,borders_countries,borders_waters,connections,locator_svg_path,base_svg_path,notes
iran,Iran,province,alborz,Alborz,Q392522,https://en.wikipedia.org/wiki/Alborz_province,Karaj,Q36529,https://en.wikipedia.org/wiki/Karaj,Markazi | Mazandaran | Qazvin | Tehran,,,"Borders peer subdivisions: Markazi, Mazandaran, Qazvin, Tehran",maps/locators/iran/alborz.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,ardabil,Ardabil,Q134228,https://en.wikipedia.org/wiki/Ardabil_province,Ardabil,Q180103,https://en.wikipedia.org/wiki/Ardabil,East Azarbaijan | Gilan | Zanjan,Azerbaijan,,"Borders peer subdivisions: East Azarbaijan, Gilan, Zanjan; Countries: Azerbaijan",maps/locators/iran/ardabil.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,bushehr,Bushehr,Q132945,https://en.wikipedia.org/wiki/Bushehr_province,Bushehr,Q158928,https://en.wikipedia.org/wiki/Bushehr,Fars | Hormozgan | Khuzestan,,Persian Gulf,"Borders peer subdivisions: Fars, Hormozgan, Khuzestan; Waters: Persian Gulf",maps/locators/iran/bushehr.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,chahar-mahaal-and-bakhtiari,Chaharmahal and Bakhtiari,Q171702,https://en.wikipedia.org/wiki/Chaharmahal_and_Bakhtiari_province,Shahr-e Kord,Q386649,https://en.wikipedia.org/wiki/Shahr-e_Kord,Isfahan | Khuzestan | Kohgiluyeh and Boyer-Ahmad | Lorestan,,,"Borders peer subdivisions: Isfahan, Khuzestan, Kohgiluyeh and Boyer-Ahmad, Lorestan",maps/locators/iran/chahar-mahaal-and-bakhtiari.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,east-azerbaijan,East Azarbaijan,Q176081,https://en.wikipedia.org/wiki/East_Azerbaijan_province,Tabriz,Q80053,https://en.wikipedia.org/wiki/Tabriz,Ardabil | West Azarbaijan | Zanjan,Armenia | Azerbaijan,,"Borders peer subdivisions: Ardabil, West Azarbaijan, Zanjan; Countries: Armenia, Azerbaijan",maps/locators/iran/east-azerbaijan.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,fars,Fars,Q1004666,https://en.wikipedia.org/wiki/Fars_province,Shiraz,Q6397066,https://en.wikipedia.org/wiki/Shiraz,Bushehr | Hormozgan | Isfahan | Kerman | Kohgiluyeh and Boyer-Ahmad | Yazd,,,"Borders peer subdivisions: Bushehr, Hormozgan, Isfahan, Kerman, Kohgiluyeh and Boyer-Ahmad, Yazd",maps/locators/iran/fars.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,gilan,Gilan,Q928828,https://en.wikipedia.org/wiki/Gilan_province,Rasht,Q178373,https://en.wikipedia.org/wiki/Rasht,Ardabil | Mazandaran | Qazvin | Zanjan,Azerbaijan,Caspian Sea,"Borders peer subdivisions: Ardabil, Mazandaran, Qazvin, Zanjan; Countries: Azerbaijan; Waters: Caspian Sea",maps/locators/iran/gilan.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,golestan,Golestan,Q170041,https://en.wikipedia.org/wiki/Golestan_province,Gorgan,Q188155,https://en.wikipedia.org/wiki/Gorgan,Mazandaran | North Khorasan | Semnan,Turkmenistan,Caspian Sea,"Borders peer subdivisions: Mazandaran, North Khorasan, Semnan; Countries: Turkmenistan; Waters: Caspian Sea",maps/locators/iran/golestan.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,hamadan,Hamadan,Q187373,https://en.wikipedia.org/wiki/Hamadan_province,Hamadan,Q28587,https://en.wikipedia.org/wiki/Hamadan,Kermanshah | Kurdistan | Lorestan | Markazi | Qazvin | Zanjan,,,"Borders peer subdivisions: Kermanshah, Kurdistan, Lorestan, Markazi, Qazvin, Zanjan",maps/locators/iran/hamadan.svg,maps/base/iran/iran-provinces.svg,
iran,Iran,province,hormozgan,Hormozgan,Q633659,https://en.wikipedia.org/wiki/Hormozgan_province,Bandar Abbas,Q154814,https://en.wikipedia.org/wiki/Bandar_Abbas,Bushehr | Fars | Kerman | Sistan and Baluchestan,,Gulf of Oman | Persian Gulf,"Borders peer subdivisions: Bushehr, Fars, Kerman, Sistan and Baluchestan; Waters: Gulf of Oman, Persian Gulf",maps/locators/iran/hormozgan.svg,maps/base/iran/iran-provinces.svg,
