country_slug,country_name,subdivision_type,subdivision_slug,subdivision_name,native_name,aliases,subdivision_wikidata_id,subdivision_wikipedia_url,capital_name,capital_wikidata_id,capital_wikipedia_url,borders_subdivisions,borders_countries,borders_waters,connections,locator_svg_path,base_svg_path,notes
mexico,Mexico,federative entity,aguascalientes,Aguascalientes,,,Q79952,https://en.wikipedia.org/wiki/Aguascalientes,Aguascalientes City,Q200805,https://en.wikipedia.org/wiki/Aguascalientes_%28city%29,Jalisco | Zacatecas,,,"Borders peer subdivisions: Jalisco, Zacatecas",maps/locators/mexico/aguascalientes.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,baja-california,Baja California,,,Q58731,https://en.wikipedia.org/wiki/Baja_California,Mexicali,Q199440,https://en.wikipedia.org/wiki/Mexicali,Baja California Sur | Sonora,United States,Gulf of California | Pacific Ocean,"Borders peer subdivisions: Baja California Sur, Sonora; Countries: United States; Waters: Gulf of California, Pacific Ocean",maps/locators/mexico/baja-california.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,baja-california-sur,Baja California Sur,,,Q46508,https://en.wikipedia.org/wiki/Baja_California_Sur,La Paz,Q214215,https://en.wikipedia.org/wiki/La_Paz%2C_Baja_California_Sur,Baja California,,Gulf of California | Pacific Ocean,"Borders peer subdivisions: Baja California; Waters: Gulf of California, Pacific Ocean",maps/locators/mexico/baja-california-sur.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,campeche,Campeche,,,Q80908,https://en.wikipedia.org/wiki/Campeche,San Francisco de Campeche,Q61301,https://en.wikipedia.org/wiki/Campeche_%28city%29,Quintana Roo | Tabasco | Yucatán,Belize,Gulf of Mexico,"Borders peer subdivisions: Quintana Roo, Tabasco, Yucatán; Countries: Belize; Waters: Gulf of Mexico",maps/locators/mexico/campeche.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,chiapas,Chiapas,,,Q60123,https://en.wikipedia.org/wiki/Chiapas,Tuxtla Gutiérrez,Q207429,https://en.wikipedia.org/wiki/Tuxtla_Guti%C3%A9rrez,Oaxaca | Tabasco | Veracruz,Guatemala,Pacific Ocean,"Borders peer subdivisions: Oaxaca, Tabasco, Veracruz; Countries: Guatemala; Waters: Pacific Ocean",maps/locators/mexico/chiapas.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,chihuahua,Chihuahua,,,Q655,https://en.wikipedia.org/wiki/Chihuahua_%28state%29,Chihuahua City,Q61302,https://en.wikipedia.org/wiki/Chihuahua_City,Coahuila | Durango | Sinaloa | Sonora,United States,,"Borders peer subdivisions: Coahuila, Durango, Sinaloa, Sonora; Countries: United States",maps/locators/mexico/chihuahua.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,coahuila,Coahuila,,,Q53079,https://en.wikipedia.org/wiki/Coahuila,Saltillo,Q53077,https://en.wikipedia.org/wiki/Saltillo,Chihuahua | Durango | Nuevo León | Zacatecas,United States,,"Borders peer subdivisions: Chihuahua, Durango, Nuevo León, Zacatecas; Countries: United States",maps/locators/mexico/coahuila.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,colima,Colima,,,Q61309,https://en.wikipedia.org/wiki/Colima,Colima,Q61320,https://en.wikipedia.org/wiki/Colima_%28city%29,Jalisco | Michoacán,,Pacific Ocean,"Borders peer subdivisions: Jalisco, Michoacán; Waters: Pacific Ocean",maps/locators/mexico/colima.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,durango,Durango,,,Q79918,https://en.wikipedia.org/wiki/Durango,Victoria de Durango,Q112813,https://en.wikipedia.org/wiki/Durango_%28city%29,Chihuahua | Coahuila | Zacatecas,,,"Borders peer subdivisions: Chihuahua, Coahuila, Zacatecas",maps/locators/mexico/durango.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,guanajuato,Guanajuato,,,Q46475,https://en.wikipedia.org/wiki/Guanajuato,Guanajuato,Q61306,https://en.wikipedia.org/wiki/Guanajuato_%28city%29,Jalisco | Michoacán | Querétaro | San Luis Potosí | Zacatecas,,,"Borders peer subdivisions: Jalisco, Michoacán, Querétaro, San Luis Potosí, Zacatecas",maps/locators/mexico/guanajuato.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,guerrero,Guerrero,,,Q60158,https://en.wikipedia.org/wiki/Guerrero,Chilpancingo de los Bravo,Q207935,https://en.wikipedia.org/wiki/Chilpancingo,Michoacán | Morelos | Oaxaca | Puebla | State of Mexico,,Pacific Ocean,"Borders peer subdivisions: Michoacán, Morelos, Oaxaca, Puebla, State of Mexico; Waters: Pacific Ocean",maps/locators/mexico/guerrero.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,hidalgo,Hidalgo,,,Q80903,https://en.wikipedia.org/wiki/Hidalgo_%28state%29,Pachuca,Q160750,https://en.wikipedia.org/wiki/Pachuca,Puebla | Querétaro | San Luis Potosí | State of Mexico | Tlaxcala | Veracruz,,,"Borders peer subdivisions: Puebla, Querétaro, San Luis Potosí, State of Mexico, Tlaxcala, Veracruz",maps/locators/mexico/hidalgo.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,jalisco,Jalisco,,,Q13160,https://en.wikipedia.org/wiki/Jalisco,Guadalajara,Q9022,https://en.wikipedia.org/wiki/Guadalajara,Aguascalientes | Colima | Guanajuato | Michoacán | Nayarit | Zacatecas,,Pacific Ocean,"Borders peer subdivisions: Aguascalientes, Colima, Guanajuato, Michoacán, Nayarit, Zacatecas; Waters: Pacific Ocean",maps/locators/mexico/jalisco.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,mexico-city,Mexico City,,,Q1489,https://en.wikipedia.org/wiki/Mexico_City,Mexico City,Q1489,https://en.wikipedia.org/wiki/Mexico_City,Morelos | State of Mexico,,,"Borders peer subdivisions: Morelos, State of Mexico",maps/locators/mexico/mexico-city.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,michoacan,Michoacán,,,Q79861,https://en.wikipedia.org/wiki/Michoac%C3%A1n,Morelia,Q200252,https://en.wikipedia.org/wiki/Morelia,Colima | Guanajuato | Guerrero | Jalisco | Querétaro | State of Mexico,,Pacific Ocean,"Borders peer subdivisions: Colima, Guanajuato, Guerrero, Jalisco, Querétaro, State of Mexico; Waters: Pacific Ocean",maps/locators/mexico/michoacan.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,morelos,Morelos,,,Q66117,https://en.wikipedia.org/wiki/Morelos,Cuernavaca,Q204245,https://en.wikipedia.org/wiki/Cuernavaca,Guerrero | Mexico City | Puebla | State of Mexico,,,"Borders peer subdivisions: Guerrero, Mexico City, Puebla, State of Mexico",maps/locators/mexico/morelos.svg,maps/base/mexico/mexico-states.svg,
mexico,Mexico,federative entity,nayarit,Nayarit,,,Q79920,https://en.wikipedia.org/wiki/Nayarit,Tepic,Q207972,https://en.wikipedia.org/wiki/Tepic,Jalisco | Zacatecas,,Pacific Ocean,"Borders peer subdivisions: Jalisco, Zacatecas; Waters: Pacific Ocean",maps/locators/mexico/nayarit.svg,maps/base/mexico/mexico-states.svg,
