country	kind	slug	label	source_title	local_path
iran	base	iran-provinces	Iran provinces	iran-provinces.svg	maps/base/iran/iran-provinces.svg
mexico	base	mexico-states	Mexico states	mexico-states.svg	maps/base/mexico/mexico-states.svg
south-africa	base	south-africa-provinces	South Africa provinces	south-africa-provinces.svg	maps/base/south-africa/south-africa-provinces.svg
turkey	base	turkey-regions	Turkey regions	Turkey-regions.svg	maps/base/turkey/turkey-regions.svg
iran	locator	alborz	alborz	alborz.svg	maps/locators/iran/alborz.svg
iran	locator	ardabil	ardabil	ardabil.svg	maps/locators/iran/ardabil.svg
iran	locator	bushehr	bushehr	bushehr.svg	maps/locators/iran/bushehr.svg
iran	locator	chahar-mahaal-and-bakhtiari	chahar-mahaal-and-bakhtiari	chahar-mahaal-and-bakhtiari.svg	maps/locators/iran/chahar-mahaal-and-bakhtiari.svg
iran	locator	east-azerbaijan	east-azerbaijan	east-azerbaijan.svg	maps/locators/iran/east-azerbaijan.svg
iran	locator	fars	fars	fars.svg	maps/locators/iran/fars.svg
iran	locator	gilan	gilan	gilan.svg	maps/locators/iran/gilan.svg
iran	locator	golestan	golestan	golestan.svg	maps/locators/iran/golestan.svg
iran	locator	hamadan	hamadan	hamadan.svg	maps/locators/iran/hamadan.svg
iran	locator	hormozgan	hormozgan	hormozgan.svg	maps/locators/iran/hormozgan.svg
iran	locator	ilam	ilam	ilam.svg	maps/locators/iran/ilam.svg
iran	locator	isfahan	isfahan	isfahan.svg	maps/locators/iran/isfahan.svg
iran	locator	kerman	kerman	kerman.svg	maps/locators/iran/kerman.svg
iran	locator	kermanshah	kermanshah	kermanshah.svg	maps/locators/iran/kermanshah.svg
iran	locator	khuzestan	khuzestan	khuzestan.svg	maps/locators/iran/khuzestan.svg
iran	locator	kohgiluyeh-and-boyer-ahmad	kohgiluyeh-and-boyer-ahmad	kohgiluyeh-and-boyer-ahmad.svg	maps/locators/iran/kohgiluyeh-and-boyer-ahmad.svg
iran	locator	kurdistan	kurdistan	kurdistan.svg	maps/locators/iran/kurdistan.svg
iran	locator	lorestan	lorestan	lorestan.svg	maps/locators/iran/lorestan.svg
iran	locator	markazi	markazi	markazi.svg	maps/locators/iran/markazi.svg
iran	locator	mazandaran	mazandaran	mazandaran.svg	maps/locators/iran/mazandaran.svg
iran	locator	north-khorasan	north-khorasan	north-khorasan.svg	maps/locators/iran/north-khorasan.svg
iran	locator	qazvin	qazvin	qazvin.svg	maps/locators/iran/qazvin.svg
iran	locator	qom	qom	qom.svg	maps/locators/iran/qom.svg
iran	locator	razavi-khorasan	razavi-khorasan	razavi-khorasan.svg	maps/locators/iran/razavi-khorasan.svg
iran	locator	semnan	semnan	semnan.svg	maps/locators/iran/semnan.svg
iran	locator	sistan-and-baluchistan	sistan-and-baluchistan	sistan-and-baluchistan.svg	maps/locators/iran/sistan-and-baluchistan.svg
iran	locator	south-khorasan	south-khorasan	south-khorasan.svg	maps/locators/iran/south-khorasan.svg
iran	locator	tehran	tehran	tehran.svg	maps/locators/iran/tehran.svg
iran	locator	west-azerbaijan	west-azerbaijan	west-azerbaijan.svg	maps/locators/iran/west-azerbaijan.svg
iran	locator	yazd	yazd	yazd.svg	maps/locators/iran/yazd.svg
iran	locator	zanjan	zanjan	zanjan.svg	maps/locators/iran/zanjan.svg
mexico	locator	aguascalientes	aguascalientes	aguascalientes.svg	maps/locators/mexico/aguascalientes.svg
mexico	locator	baja-california-sur	baja-california-sur	baja-california-sur.svg	maps/locators/mexico/baja-california-sur.svg
mexico	locator	baja-california	baja-california	baja-california.svg	maps/locators/mexico/baja-california.svg
mexico	locator	campeche	campeche	campeche.svg	maps/locators/mexico/campeche.svg
mexico	locator	chiapas	chiapas	chiapas.svg	maps/locators/mexico/chiapas.svg
mexico	locator	chihuahua	chihuahua	chihuahua.svg	maps/locators/mexico/chihuahua.svg
mexico	locator	coahuila	coahuila	coahuila.svg	maps/locators/mexico/coahuila.svg
mexico	locator	colima	colima	colima.svg	maps/locators/mexico/colima.svg
mexico	locator	durango	durango	durango.svg	maps/locators/mexico/durango.svg
mexico	locator	guanajuato	guanajuato	guanajuato.svg	maps/locators/mexico/guanajuato.svg
mexico	locator	guerrero	guerrero	guerrero.svg	maps/locators/mexico/guerrero.svg
mexico	locator	hidalgo	hidalgo	hidalgo.svg	maps/locators/mexico/hidalgo.svg
mexico	locator	jalisco	jalisco	jalisco.svg	maps/locators/mexico/jalisco.svg
mexico	locator	mexico-city	mexico-city	mexico-city.svg	maps/locators/mexico/mexico-city.svg
mexico	locator	michoacan	michoacan	michoacan.svg	maps/locators/mexico/michoacan.svg
mexico	locator	morelos	morelos	morelos.svg	maps/locators/mexico/morelos.svg
mexico	locator	nayarit	nayarit	nayarit.svg	maps/locators/mexico/nayarit.svg
mexico	locator	nuevo-leon	nuevo-leon	nuevo-leon.svg	maps/locators/mexico/nuevo-leon.svg
mexico	locator	oaxaca	oaxaca	oaxaca.svg	maps/locators/mexico/oaxaca.svg
mexico	locator	puebla	puebla	puebla.svg	maps/locators/mexico/puebla.svg
mexico	locator	queretaro	queretaro	queretaro.svg	maps/locators/mexico/queretaro.svg
mexico	locator	quintana-roo	quintana-roo	quintana-roo.svg	maps/locators/mexico/quintana-roo.svg
mexico	locator	san-luis-potosi	san-luis-potosi	san-luis-potosi.svg	maps/locators/mexico/san-luis-potosi.svg
mexico	locator	sinaloa	sinaloa	sinaloa.svg	maps/locators/mexico/sinaloa.svg
mexico	locator	sonora	sonora	sonora.svg	maps/locators/mexico/sonora.svg
mexico	locator	state-of-mexico	state-of-mexico	state-of-mexico.svg	maps/locators/mexico/state-of-mexico.svg
mexico	locator	tabasco	tabasco	tabasco.svg	maps/locators/mexico/tabasco.svg
mexico	locator	tamaulipas	tamaulipas	tamaulipas.svg	maps/locators/mexico/tamaulipas.svg
mexico	locator	tlaxcala	tlaxcala	tlaxcala.svg	maps/locators/mexico/tlaxcala.svg
mexico	locator	veracruz	veracruz	veracruz.svg	maps/locators/mexico/veracruz.svg
mexico	locator	yucatan	yucatan	yucatan.svg	maps/locators/mexico/yucatan.svg
mexico	locator	zacatecas	zacatecas	zacatecas.svg	maps/locators/mexico/zacatecas.svg
south-africa	locator	eastern-cape	eastern-cape	eastern-cape.svg	maps/locators/south-africa/eastern-cape.svg
south-africa	locator	free-state	free-state	free-state.svg	maps/locators/south-africa/free-state.svg
south-africa	locator	gauteng	gauteng	gauteng.svg	maps/locators/south-africa/gauteng.svg
south-africa	locator	kwazulu-natal	kwazulu-natal	kwazulu-natal.svg	maps/locators/south-africa/kwazulu-natal.svg
south-africa	locator	limpopo	limpopo	limpopo.svg	maps/locators/south-africa/limpopo.svg
south-africa	locator	mpumalanga	mpumalanga	mpumalanga.svg	maps/locators/south-africa/mpumalanga.svg
south-africa	locator	north-west	north-west	north-west.svg	maps/locators/south-africa/north-west.svg
south-africa	locator	northern-cape	northern-cape	northern-cape.svg	maps/locators/south-africa/northern-cape.svg
south-africa	locator	western-cape	western-cape	western-cape.svg	maps/locators/south-africa/western-cape.svg
turkey	locator	aegean-region	aegean-region	aegean-region.svg	maps/locators/turkey/aegean-region.svg
turkey	locator	black-sea-region	black-sea-region	black-sea-region.svg	maps/locators/turkey/black-sea-region.svg
turkey	locator	central-anatolia-region	central-anatolia-region	central-anatolia-region.svg	maps/locators/turkey/central-anatolia-region.svg
turkey	locator	eastern-anatolia-region	eastern-anatolia-region	eastern-anatolia-region.svg	maps/locators/turkey/eastern-anatolia-region.svg
turkey	locator	marmara-region	marmara-region	marmara-region.svg	maps/locators/turkey/marmara-region.svg
turkey	locator	mediterranean-region	mediterranean-region	mediterranean-region.svg	maps/locators/turkey/mediterranean-region.svg
turkey	locator	southeastern-anatolia-region	southeastern-anatolia-region	southeastern-anatolia-region.svg	maps/locators/turkey/southeastern-anatolia-region.svg
